date,headline,source,summary
2025-01-05,"18-25% Cash Flow Yields: 1 To Buy, 2 To Avoid",SeekingAlpha,Not all high cash flow yields are good investments. Find out one that is a strong buy right now and two that I think should be avoided.
2025-01-06,Taking Stock Of The Utilities Sector,SeekingAlpha,Utilities have historically been a focus for investors looking to lower volatility. Here we take a look at the major utilities sector ETFs and some specific utility stocks of interest.
2025-01-07,NextEra Energy Partners (NEP) Advances But Underperforms Market: Key Facts,Yahoo,"NextEra Energy Partners (NEP) closed the most recent trading day at $18.72, moving +0.11% from the previous trading session."
2025-01-07,Looking for Stocks with Positive Earnings Momentum? Check Out These 2 Utilities Names,Yahoo,Why investors should use the Zacks Earnings ESP tool to help find stocks that are poised to top quarterly earnings estimates.
2025-01-07,ClearBridge Large Cap Growth Strategy Q4 2024 Commentary,SeekingAlpha,"In a period of momentum-driven returns and bullish investor sentiment sparked by the re-election of Donald Trump, the more defensively positioned Strategy underperformed."
2025-01-10,9 Dividend Aristocrat Bargains To Buy With The Market Near Record Highs,SeekingAlpha,9 dividend aristocrat PEGY bargains offer a 3.1% yield and are trading at a 51% discount to historical PEGY ratios. Click here for a detailed review.
2025-01-13,NextEra Energy announces date for release of fourth-quarter and full-year 2024 financial results,Finnhub,"JUNO BEACH, Fla., Jan. 13, 2025 /PRNewswire/ -- NextEra Energy, Inc. today announced that it plans to report fourth-quarter and full-year 2024 financial results before the opening of the New York..."
2025-01-18,"Netflix, Procter & Gamble, Johnson & Johnson Report Results In Holiday-Shortened Week",SeekingAlpha,Stay ahead of the market with Seeking Alphas Wall Street Week Ahead newsletter.
2025-01-20,ClearBridge Global Infrastructure Income Strategy Q4 2024 Commentary,SeekingAlpha,"Relative to the S&P Global Infrastructure Index and on a USD basis, ClearBridge Global Infrastructure Income Strategy underperformed in Q4 2024. Click here to read more."
2025-01-21,FUTY: Utilities Dashboard For January,SeekingAlpha,"Discover insights on the utilities sector, including undervalued water utilities, ETF options, and 10 cheaper stocks for investors."
2025-01-26,ClearBridge Large Cap Growth ESG Portfolios Q4 2024 Commentary,SeekingAlpha,The portfolios and the Russell 1000 Growth Index are coming off two years of historically robust performance. Read more here.
2025-01-28,DeepSeek: Why REITs And Utilities Loved The News,SeekingAlpha,"Investors see the predictable cashflows of REITs and utilities as more attractive, as AI stocks plummet after Chinas DeepSeek unveiling, seeking predictable returns amid AI uncertainties."
2025-01-28,NextEra Energys XPLR Infrastructure shares tank on dividend suspension,Finnhub,"XPLR Infrastructure , a unit of utility firm NextEra Energy, said on Tuesday it will suspend its dividend for an indefinite period, sending the companys shares down 23% in premarket trade. ..."
2025-01-29,ClearBridge Large Cap Growth ESG Strategy Q4 2024 Commentary,SeekingAlpha,The ClearBridge Large Cap Growth ESG Strategy underperformed its Russell 1000 Growth Index benchmark in the fourth quarter. Read more here.
2025-02-01,8 Stocks & 1 ETF Im Buying As The Trade Wars Begin,SeekingAlpha,"The stock markets current valuations are elevated, driven by AI optimism, and theres a potential rotation from tech to other sectors to come in 2025. I share what stocks Im buying now."
2025-02-05,Franklin Convertible Securities Fund Q4 2024 Commentary,SeekingAlpha,"US stocks collectively rose in the fourth quarter of 2024, with the S&P 500 Index, Dow Jones Industrial Average and NASDAQ Composite Index reaching new record highs."
2025-02-05,Franklin Income SMA Q4 2024 Commentary,SeekingAlpha,US stocks collectively rose in the fourth quarter of 2024 despite retreating in December. Read more here.
2025-02-09,NextEra Energy: Yield Spread Shows Its Still A Hold,SeekingAlpha,"NextEra Energyâs 17% pullback improves yield and P/E, yet rising rates affect its valuation. Find out why NEE stockâs risk profile remains mixed."
2025-02-11,"NextEra Energy Looks Interesting, Yielding 3% After Retracing 20% From Its 52-Week Highs",SeekingAlpha,NextEra Energy has recently retraced by -20.71% since reaching its 52-week high of $86.10. Read why I remain very bullish on NEE stock.
2025-02-14,The Southern Companys Good Fuel Mix,SeekingAlpha,"The Southern Company, headquartered in Atlanta, Georgia, operates in regulated utility sectors, primarily electricity but also natural gas. Explore more details here."
2025-02-14,NextEra Energy Raises Quarterly Dividend by 10%,MarketWatch,NextEra Energy Raises Quarterly Dividend by 10%
2025-02-14,NextEra Energy: A Renewables Powerhouse Facing Possible Turbulence,SeekingAlpha,Discover why NextEra Energys leadership in renewables faces challenges amid economic and regulatory uncertainties. Click here to read my most recent analysis.
2025-02-15,"Dividend Champion, Contender, And Challenger Highlights: Week Of February 16",SeekingAlpha,"Read here to learn more on the latest weekly updates on dividend activity for Dividend Champions, Contenders, and Challengers."
2025-02-15,7 Stocks And 1 ETF Im Buying As Inflation Is Lower Than It Looks,SeekingAlpha,"Analyze the January 2025 CPI report, labor market trends, stock valuations, and top REIT investment picks offering growth potential."
2025-02-19,Aristotle Atlantics Core Equity Q4 2024 Commentary,SeekingAlpha,"For Q4 2024, Aristotle Atlanticâs Core Equity Composite posted a total return of 4.11% gross of fees (4.00% net of fees). Click here to read the full commentary."
2025-02-20,Madison Dividend Income Fund Q4 2024 Investment Strategy Letter,SeekingAlpha,"For the full year, the Fund returned +7.7%, which compared to the S&P 500, Russell 1000 Value and Lipper Equity Income peer group returns of +25.0%, +14.4%, and +14.1% respectively."
2025-02-22,"Dividend Champion, Contender, And Challenger Highlights: Week Of February 23",SeekingAlpha,"Stay updated with weekly dividend changes for Dividend Champions, Contenders & Challengers. Explore ex-dividend dates, pay dates and more."
2025-02-24,Columbia Convertible Securities Fund Q4 2024 Commentary,SeekingAlpha,Columbia Convertible Securities Fund Institutional Class shares returned 2.38% for Q4 2024. Click here to read the full commentary.
2025-02-26,Boost Your Retirement Income With These 2 Picks While Avoiding Yield Cuts And Longevity Risk,SeekingAlpha,Calibrating the portfolio for retirement income has to be done very carefully and diligently. Learn how to transition to retirement income without mistakes.
2025-02-28,ATCO: My Largest Utility Stock Investment,SeekingAlpha,"ATCO stands out with a 4.3% yield and 30% upside potential. This rare investment offers growth, value, and safety. Read here for more on ACLLF stock."
2025-03-03,FPL files details of new rate plan designed to power growing state with unmatched combination of high reliability and low bills,Finnhub,JUNO BEACH - Florida Power & Light Company today submitted a comprehensive four-year request to the Florida Public Service Commission to set new rates once its current base rate agreement concludes...
2025-03-04,NextEra Energy to meet with investors throughout March,Finnhub,"JUNO BEACH, Fla., March 4, 2025 /PRNewswire/ -- NextEra Energy, Inc. today announced that members of the senior management team will participate in various investor meetings throughout March. They..."
2025-03-05,The Dividend Aristocrats Ranked By Quality Scores: March 2025,SeekingAlpha,S&P Dow Jones Indices added three new members to the S&P 500 Dividend Aristocrats Index. Click here to find out my ranking of dividend aristocrats.
2025-03-07,ClearBridge Tactical Dividend Income Strategy Q4 2024 Commentary,SeekingAlpha,The ClearBridge Tactical Dividend Income Strategy outperformed its blended benchmark for Q4 2024. Click here to read the full commentary.
2025-03-11,"Why NextEra Energy, Inc. (NEE) Went Up on Monday",Yahoo,"We recently compiled a list of the 10 Firms Buck Market Bloodbath on Monday. In this article, we are going to take a look at where NextEra Energy, Inc. (NYSE:NEE) stands against the other stocks. The stock market suffered a bloodbath anew on Monday, with the Nasdaq plunging to its worst level in three years over […]"
2025-03-11,NextEra Energy CEO on Energy Demand and Tariffs,Finnhub,"John Ketchum, CEO of NextEra, talks about global energy demand outlook and impact of tariffs with Bloombergs Alix Steel at CERAWeek in Houston...."
2025-03-17,NextEra is Trading Above 50 Day SMA: Time to Buy the Stock?,Yahoo,NEE stock continues to benefit from improving economic conditions and increasing demand from its expanding customer base in the United States.
